,Title,Release year,Genres,IMDB rating,Runtime,Age rating,Production country,Streaming service,Type,Movie link
89,Kleo,(2024),"Action & Adventure, Science-Fiction, Mystery & Thriller",4.1 (38k),50min,UA,Germany,"('Netflix',)",movie,https://www.justwatch.com/in/movie/bade-miyan-chote-miyan-2023
90,Parks and Recreation,(2000),"Action & Adventure, Drama",8.5 (2m),22min,,United States,,movie,https://www.justwatch.com/in/movie/gladiator
91,Damaged,(2024),"Horror, Mystery & Thriller",6.6 (55k),20min,A,India,"('VI movies and tv',)",movie,https://www.justwatch.com/in/movie/abigail-2024
92,Lucifer,(2024),"Drama, Romance, Science-Fiction, Comedy",6.3 (51k),47min,,United States,"('Netflix',)",movie,https://www.justwatch.com/in/movie/untitled-shahid-kapoor-kriti-sanon-film
93,Spartacus,(2021),"Action & Adventure, Science-Fiction, Fantasy",8.2 (895k),54min,UA,United States,"('Lionsgate Play', 'Lionsgate Play Apple TV Channel', 'Lionsgate Play Amazon Channel')",movie,https://www.justwatch.com/in/movie/spider-man-no-way-home
94,Undekhi,(2022),"Action & Adventure, Crime, Mystery & Thriller, Drama",8.3 (76k),35min,UA,India,"('Sony Liv',)",movie,https://www.justwatch.com/in/movie/vikram-2021
95,Kaiju No. 8,(2024),"Comedy, Kids & Family, Science-Fiction, Animation, Crime",6.3 (19k),24min,,Japan,"('Crunchyroll', 'Crunchyroll Amazon Channel')",movie,https://www.justwatch.com/in/movie/despicable-me-4-2024
96,Supernatural,(2016),"Romance, Sport, Action & Adventure, Drama",7.1 (52k),45min,UA,United States,"('Amazon Prime Video',)",movie,https://www.justwatch.com/in/movie/sultan
97,Mismatched,(2015),"Drama, Romance, Mystery & Thriller",4.2 (339k),35min,,India,"('Netflix',)",movie,https://www.justwatch.com/in/movie/fifty-shades-of-grey
98,Yellowstone,(2021),"Action & Adventure, Drama, Mystery & Thriller, Crime",7.6 (89k),50min,UA,United States,"('Netflix',)",movie,https://www.justwatch.com/in/movie/pushpa
99,One-Punch Man,(2010),"Drama, Mystery & Thriller, Made in Europe, War & Military",8.3 (206k),24min,,Japan,"('Netflix', 'Amazon Prime Video', 'Crunchyroll', 'Anime Times Amazon Channel', 'Crunchyroll Amazon Channel')",movie,https://www.justwatch.com/in/movie/incendies
100,Mirzapur,(2024),"Mystery & Thriller, Action & Adventure, Crime, Drama",8.7 (29k),50min,,India,"('Amazon Prime Video',)",movie,https://www.justwatch.com/in/movie/maharaja-2024
101,House of the Dragon,(2024),"Drama, Science-Fiction, Mystery & Thriller, Action & Adventure, Fantasy",7.6 (41k),1h 6min,UA,United States,"('Jio Cinema',)",movie,https://www.justwatch.com/in/movie/project-k
102,The Boys,(2024),"Action & Adventure, Crime, Drama, Mystery & Thriller",7.8 (12k),1h 1min,A,United States,"('Amazon Prime Video',)",movie,https://www.justwatch.com/in/movie/kill-2024
103,Panchayat,(2024),"Comedy, Horror",7.2 (15k),35min,,India,"('Amazon Prime Video',)",movie,https://www.justwatch.com/in/movie/munjha
104,Sweet Home,(2019),"Crime, Action & Adventure, Mystery & Thriller",6.9 (25k),58min,,South Korea,"('Netflix',)",movie,https://www.justwatch.com/in/movie/the-gangster-the-cop-the-devil
105,Avoidance  - Series 2,(2024),"Documentary, Music & Musical",,29min,,United Kingdom,,movie,https://www.justwatch.com/in/movie/mon-laferte-te-amo
106,A Good Girl's Guide to Murder  - Season 1,(2024),"Comedy, Animation, Kids & Family, Fantasy",4.1 (286),44min,,United Kingdom,,movie,https://www.justwatch.com/in/movie/saving-bikini-bottom-the-sandy-cheeks-movie
107,Rising Impact  - Season 2,(2024),"Action & Adventure, Science-Fiction",,27min,,Japan,,movie,https://www.justwatch.com/in/movie/rebel-moon-part-one-directors-cut
108,The Umbrella Academy  - Season 4,(2024),"Action & Adventure, Comedy, Crime, Mystery & Thriller, Drama",,53min,A,United States,,movie,https://www.justwatch.com/in/movie/the-instigators
109,Yo Gabba Gabba!  - Season 4,(2024),"Action & Adventure, Mystery & Thriller",,24min,,United States,,movie,https://www.justwatch.com/in/movie/the-union
110,Mirzapur,(2018),"Action & Adventure, Drama, Crime, Mystery & Thriller",8.5 (86k),50min,A,India,"('Amazon Prime Video',)",tv show,https://www.justwatch.com/in/movie/maharaja-2024
111,House of the Dragon,(2022),"Drama, Action & Adventure, Science-Fiction, Fantasy, Romance",8.4 (420k),1h 6min,A,United States,"('Jio Cinema',)",tv show,https://www.justwatch.com/in/movie/project-k
112,The Boys,(2019),"Science-Fiction, Action & Adventure, Comedy, Crime, Drama",8.7 (701k),1h 1min,A,United States,"('Amazon Prime Video',)",tv show,https://www.justwatch.com/in/movie/kill-2024
113,Panchayat,(2020),"Drama, Comedy",9.0 (96k),35min,,India,"('Amazon Prime Video',)",tv show,https://www.justwatch.com/in/movie/munjha
114,Sweet Home,(2020),"Science-Fiction, Horror, Mystery & Thriller, Drama, Fantasy",7.3 (34k),58min,A,South Korea,"('Netflix',)",tv show,https://www.justwatch.com/in/movie/the-gangster-the-cop-the-devil
115,Game of Thrones,(2011),"Action & Adventure, Drama, Fantasy, Science-Fiction",9.2 (2m),58min,A,"United States, United Kingdom","('Jio Cinema',)",tv show,https://www.justwatch.com/in/movie/family-star
116,Demon Slayer: Kimetsu no Yaiba,(2019),"Animation, Action & Adventure, Science-Fiction, Fantasy, Mystery & Thriller",8.6 (160k),26min,,Japan,"('Netflix', 'Crunchyroll', 'Crunchyroll Amazon Channel')",tv show,https://www.justwatch.com/in/movie/aavesham-2024
117,Apharan,(2018),"Drama, Action & Adventure, Crime, Mystery & Thriller",8.2 (20k),24min,,India,"('Jio Cinema', 'Alt Balaji')",tv show,https://www.justwatch.com/in/movie/aadujeevitham
118,Shōgun,(2024),"War & Military, Drama, History",8.7 (157k),59min,,United States,"('Hotstar',)",tv show,https://www.justwatch.com/in/movie/furiosa
119,The Bear,(2022),"Drama, Comedy",8.6 (234k),34min,,United States,"('Hotstar',)",tv show,https://www.justwatch.com/in/movie/the-fall-guy
120,Evil,(2019),"Mystery & Thriller, Crime, Drama, Horror",7.8 (39k),49min,,United States,"('Jio Cinema',)",tv show,https://www.justwatch.com/in/movie/garudan-2024
121,Kota Factory,(2019),"Comedy, Drama",9.0 (84k),43min,,India,"('Netflix',)",tv show,https://www.justwatch.com/in/movie/maharshi
122,Gullak,(2019),"Drama, Kids & Family, Comedy",9.1 (24k),30min,,India,"('Sony Liv',)",tv show,https://www.justwatch.com/in/movie/kingdom-of-the-planet-of-the-apes
123,Presumed Innocent,(2024),"Drama, Crime, Mystery & Thriller",7.8 (25k),43min,A,United States,"('Apple TV+',)",tv show,https://www.justwatch.com/in/movie/sri-2023
124,Bigg Boss OTT,(2021),Reality TV,1.9 (1.1k),1h 30min,A,India,"('Jio Cinema',)",tv show,https://www.justwatch.com/in/movie/inside-out
125,Tribhuvan Mishra CA Topper,(2024),"Comedy, Crime, Drama, Mystery & Thriller",7.1 (1.2k),57min,,India,"('Netflix',)",tv show,https://www.justwatch.com/in/movie/civil-war-2024-0
126,Y: The Last Man,(2021),"Science-Fiction, Action & Adventure, Drama",6.0 (16k),51min,A,United States,,tv show,https://www.justwatch.com/in/movie/harom-hara
127,Mastram,(2020),"Drama, Comedy, Fantasy",6.9 (2.5k),28min,,India,,tv show,https://www.justwatch.com/in/movie/godzilla-x-kong-the-new-empire
128,Attack on Titan,(2013),"Horror, Animation, Action & Adventure, Drama, Fantasy, Science-Fiction",9.1 (527k),25min,UA,Japan,"('Amazon Prime Video', 'Anime Times Amazon Channel')",tv show,https://www.justwatch.com/in/movie/deadpool-3
129,Breaking Bad,(2008),"Drama, Crime, Mystery & Thriller",9.5 (2m),47min,U,United States,"('Netflix',)",tv show,https://www.justwatch.com/in/movie/manjummel-boys
130,Money Heist,(2017),"Drama, Mystery & Thriller, Action & Adventure, Crime, Made in Europe",8.2 (540k),50min,,Spain,"('Netflix',)",tv show,https://www.justwatch.com/in/movie/kung-fu-panda-4
131,XXX: Uncensored,(2018),"Comedy, Drama, Romance",4.8 (795),22min,,India,"('Alt Balaji',)",tv show,https://www.justwatch.com/in/movie/365-days
132,Aashram,(2020),"Drama, Crime, Mystery & Thriller",7.4 (32k),43min,,India,"('MX Player',)",tv show,https://www.justwatch.com/in/movie/bad-boys-4
133,Raising Voices,(2024),Drama,7.2 (3.6k),46min,,Spain,"('Netflix',)",tv show,https://www.justwatch.com/in/movie/dune-part-two
134,Elite,(2018),"Crime, Mystery & Thriller, Drama",7.2 (92k),49min,A,Spain,"('Netflix',)",tv show,https://www.justwatch.com/in/movie/deadpool
135,Stranger Things,(2016),"Science-Fiction, Mystery & Thriller, Action & Adventure, Drama, Fantasy, Horror",8.7 (1m),1h 1min,,United States,"('Netflix',)",tv show,https://www.justwatch.com/in/movie/je-jatt-vigad-gya
136,The Rookie,(2018),"Comedy, Crime, Drama, Action & Adventure",8.0 (78k),43min,,United States,,tv show,https://www.justwatch.com/in/movie/godzilla-minus-one
137,Bigg Boss,(2006),"Reality TV, Kids & Family",3.7 (4k),1h 16min,,India,,tv show,https://www.justwatch.com/in/movie/maharaj
138,Bridgerton,(2020),"Drama, Romance",7.4 (190k),1h 1min,A,United States,"('Netflix',)",tv show,https://www.justwatch.com/in/movie/hit-man
139,Asur: Welcome to Your Dark Side,(2020),"Crime, Drama, Mystery & Thriller",8.5 (66k),47min,,India,"('Jio Cinema',)",tv show,https://www.justwatch.com/in/movie/oppenheimer
140,3 Body Problem,(2024),"Science-Fiction, Fantasy, Drama",7.5 (133k),56min,A,United States,"('Netflix',)",tv show,https://www.justwatch.com/in/movie/laapataa-ladies
141,Fallout,(2024),"Drama, Science-Fiction, War & Military, Action & Adventure, Mystery & Thriller",8.4 (234k),59min,A,United States,"('Amazon Prime Video',)",tv show,https://www.justwatch.com/in/movie/addicted
142,36 Days,(2024),Mystery & Thriller,4.6 (307),37min,,India,"('Sony Liv',)",tv show,https://www.justwatch.com/in/movie/wild-wild-punjab
143,The Good Doctor,(2017),Drama,8.0 (117k),43min,U,United States,"('Amazon Prime Video', 'Netflix', 'Sony Liv')",tv show,https://www.justwatch.com/in/movie/guruvayoor-ambalanadayil
